Command to get services : "Get-Service -Name * | Select Name, DisplayName"

Name                          DisplayName
----                          -----------
AeLookupSvc                   Application Experience
ALG                           Application Layer Gateway Service
AppIDSvc                      Application Identity
Appinfo                       Application Information
AppMgmt                       Application Management
AppReadiness                  App Readiness
AppXSvc                       AppX Deployment Service (AppXSVC)
AudioEndpointBuilder          Windows Audio Endpoint Builder
Audiosrv                      Windows Audio
AxInstSV                      ActiveX Installer (AxInstSV)
BDESVC                        BitLocker Drive Encryption Service
BFE                           Base Filtering Engine
BITS                          Background Intelligent Transfer Service
BrokerInfrastructure          Background Tasks Infrastructure Service
BthHFSrv                      Bluetooth Handsfree Service
bthserv                       Bluetooth Support Service
CertPropSvc                   Certificate Propagation
COMSysApp                     COM+ System Application
CryptSvc                      Cryptographic Services
CscService                    Offline Files
DcomLaunch                    DCOM Server Process Launcher
defragsvc                     Optimize drives
DeviceAssociationService      Device Association Service
DeviceInstall                 Device Install Service
Dhcp                          DHCP Client
Dnscache                      DNS Client
dot3svc                       Wired AutoConfig
DPS                           Diagnostic Policy Service
DsmSvc                        Device Setup Manager
Eaphost                       Extensible Authentication Protocol
EFS                           Encrypting File System (EFS)
EventLog                      Windows Event Log
EventSystem                   COM+ Event System
fdPHost                       Function Discovery Provider Host
FDResPub                      Function Discovery Resource Publication
fhsvc                         File History Service
FontCache                     Windows Font Cache Service
FontCache3.0.0.0              Windows Presentation Foundation Font Cache 3.0.0.0
gpsvc                         Group Policy Client
hidserv                       Human Interface Device Service
hkmsvc                        Health Key and Certificate Management
HomeGroupListener             HomeGroup Listener
HomeGroupProvider             HomeGroup Provider
IEEtwCollectorService         Internet Explorer ETW Collector Service
IKEEXT                        IKE and AuthIP IPsec Keying Modules
iphlpsvc                      IP Helper
KeyIso                        CNG Key Isolation
KtmRm                         KtmRm for Distributed Transaction Coordinator
LanmanServer                  Server
LanmanWorkstation             Workstation
lfsvc                         Windows Location Framework Service
lltdsvc                       Link-Layer Topology Discovery Mapper
lmhosts                       TCP/IP NetBIOS Helper
LSM                           Local Session Manager
MMCSS                         Multimedia Class Scheduler
MozillaMaintenance            Mozilla Maintenance Service
MpsSvc                        Windows Firewall
MSDTC                         Distributed Transaction Coordinator
MSiSCSI                       Microsoft iSCSI Initiator Service
msiserver                     Windows Installer
MsKeyboardFilter              Microsoft Keyboard Filter
napagent                      Network Access Protection Agent
NcaSvc                        Network Connectivity Assistant
NcbService                    Network Connection Broker
